x,y
0.6,-5217800000
2.6,-2044279359
29.7,-1876683214
4.7,-1145181478
2.3,-1017167486
0.3,-727292367
2.3,-597232816
9,-414106081
1.1,-185486483
1.3,-140471841
-0.4,-119100000
17.3,-87101893
5.5,-33810000
10.6,-26248465
11.2,-13916023
2.2,-8872432
5.3,-7999948
3.1,-7279000
0.1,-6995806
5.3,-1312346
11.8,75394
4.1,2253521
-0.8,4526936
3.9,5725111
5.6,7000000
5.2,9106990
7.6,9635782
16.7,12467000
8.1,12581788
6.3,12916888
9.4,14637480
8.2,16460948
10.2,16834414
11.9,22489618
-1.5,23415198
8.5,25798786
11.8,25939271
12.3,26230387
3.1,29138094
7.3,35633911
7,37467707
13.7,37513907
9.6,40000000
2.2,40000000
14.3,40430294
17.5,41107272
8.1,45896659
12,51000000
4,52537864
9.7,57900000
8.1,58447358
11.9,71105200
7.7,71948000
1.3,75690000
6,77064838
2.5,85238681
3.2,96601013
4.9,100000000
7.7,103967150
18.8,108025351
2.3,116012576
5.5,120426358
8.1,123383757
13.8,126923597
4,130342871
13.3,131597681
3.7,136000000
-1,153678222
5,166099134
1.5,178203470
7.5,194650000
4.4,195602311
6.3,196231919
5.6,223000000
2.9,225400000
5.7,232328064
8.7,235302185
11.7,319922638
4.2,420212613
13.4,455963040
6.2,551789481
4.4,602100000
1.5,672600000
7.4,691647772
2.3,776858261
3.6,779486248
1.9,822800000
13,2463000000
3.7,2653365211
5.6,3411315628
4.1,4272276974
3.4,4948970444
-1.2,5983774999
1.5,6956000000
